,Unnamed: 0,Unnamed: 0.1,fiber,wavelength,element,exptime,arm,X,Y,peak
0,0,0,2,696.7352,Ar,0,r,4060.7874878186267,887.8149964958427,1
1,1,1,2,727.4939999999997,Ar,0,r,4058.715758891311,1241.4342937469482,2
2,2,2,2,795.0362,Ar,0,r,4057.10045028459,2021.7221828401086,3
3,3,3,2,912.5471,Ar,0,r,4063.297019345686,3404.124087572098,4
4,4,4,2,966.0435,Ar,0,r,4071.506279697176,4053.93708293885,5
5,5,5,102,696.7352,Ar,0,r,3439.748143883422,867.0942737460136,1
6,6,6,102,727.4939999999997,Ar,0,r,3438.6012050877325,1219.3463960886004,2
7,7,7,102,795.0362,Ar,0,r,3437.726594569321,1997.131355941296,3
8,8,8,102,912.5471,Ar,0,r,3441.016618051333,3374.384168505669,4
9,9,9,102,966.0435,Ar,0,r,3445.563878512476,4020.156844079496,5
10,10,10,166,696.7352,Ar,0,r,3044.39620380057,857.4149233102797,1
11,11,11,166,727.4939999999997,Ar,0,r,3043.6706991355168,1209.1166201233866,2
12,12,12,166,795.0362,Ar,0,r,3043.124254474532,1985.9463276825845,3
13,13,13,166,912.5471,Ar,0,r,3045.113159887493,3361.2275362610817,4
14,14,14,166,966.0435,Ar,0,r,3048.002999672899,4005.386944174767,5
15,15,15,489,696.7352,Ar,0,r,1123.0612289024284,876.5034867525101,1
16,16,16,489,727.4939999999997,Ar,0,r,1123.9220073139295,1228.255244731903,2
17,17,17,489,795.0362,Ar,0,r,1124.7402789991463,2005.1827805042267,3
18,18,18,489,912.5471,Ar,0,r,1123.1465573161838,3380.64176940918,4
19,19,19,489,966.0435,Ar,0,r,1120.3971198078943,4024.90857681632,5
20,20,20,554,696.7352,Ar,0,r,721.3310732281534,885.6040502786636,1
21,21,21,554,727.4939999999997,Ar,0,r,722.6303799351008,1237.9405178464951,2
22,22,22,554,795.0362,Ar,0,r,723.7939851405263,2015.884180791676,3
23,23,23,554,912.5471,Ar,0,r,720.8687835140154,3393.4356363415723,4
24,24,24,554,966.0435,Ar,0,r,716.4173443848267,4039.3946868777284,5
25,25,25,650,696.7352,Ar,0,r,124.77156673604622,904.438990175724,1
26,26,26,650,727.4939999999997,Ar,0,r,126.96822726028041,1258.1187631487844,2
27,27,27,650,795.0362,Ar,0,r,128.8536787296689,2038.5315379202368,3
28,28,28,650,912.5471,Ar,0,r,123.12440463434905,3421.1402483582497,4
29,29,29,650,966.0435,Ar,0,r,115.1363255297765,4071.0450191497803,5
